(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.151, 0.123, 0.115, 0.160, 0.164, 0.162, 0.168, 0.179, 0.216, 0.226, 0.218, 0.212, 0.222, 0.246, 0.224, 0.227, 0.221, 0.229, 0.232, 0.226
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.285, 0.273, 0.236, 0.305, 0.303, 0.314, 0.299, 0.326, 0.387, 0.384, 0.392, 0.374, 0.395, 0.428, 0.419, 0.421, 0.404, 0.446, 0.423, 0.419
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.128, 0.096, 0.093, 0.137, 0.156, 0.131, 0.176, 0.172, 0.225, 0.233, 0.221, 0.184, 0.222, 0.254, 0.229, 0.211, 0.205, 0.209, 0.207, 0.214
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.025, 0.018, 0.010, 0.021, 0.037, 0.043, 0.016, 0.028, 0.047, 0.060, 0.066, 0.025, 0.044, 0.060, 0.035, 0.046, 0.054, 0.052, 0.061, 0.054
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.149, 0.128, 0.151, 0.150, 0.172, 0.162, 0.199, 0.181, 0.226, 0.265, 0.237, 0.218, 0.237, 0.283, 0.269, 0.242, 0.227, 0.241, 0.240, 0.264
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.256, 0.239, 0.216, 0.313, 0.300, 0.292, 0.305, 0.330, 0.380, 0.366, 0.365, 0.359, 0.367, 0.390, 0.371, 0.382, 0.360, 0.387, 0.376, 0.371
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.178, 0.136, 0.152, 0.175, 0.183, 0.182, 0.191, 0.185, 0.216, 0.227, 0.218, 0.204, 0.213, 0.243, 0.212, 0.224, 0.213, 0.218, 0.221, 0.236
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.225, 0.183, 0.208, 0.246, 0.281, 0.265, 0.253, 0.242, 0.294, 0.315, 0.296, 0.292, 0.299, 0.358, 0.310, 0.308, 0.303, 0.300, 0.310, 0.330
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.235, 0.185, 0.213, 0.251, 0.288, 0.272, 0.261, 0.251, 0.310, 0.327, 0.308, 0.305, 0.307, 0.366, 0.318, 0.316, 0.315, 0.310, 0.319, 0.337
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.031, 0.020, 0.016, 0.028, 0.057, 0.056, 0.028, 0.037, 0.054, 0.072, 0.078, 0.036, 0.058, 0.099, 0.049, 0.071, 0.081, 0.075, 0.085, 0.077
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.189, 0.147, 0.210, 0.227, 0.258, 0.294, 0.245, 0.236, 0.363, 0.331, 0.295, 0.321, 0.327, 0.380, 0.361, 0.313, 0.327, 0.318, 0.327, 0.365
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.386, 0.334, 0.346, 0.413, 0.440, 0.395, 0.418, 0.419, 0.450, 0.467, 0.476, 0.478, 0.473, 0.502, 0.468, 0.490, 0.483, 0.484, 0.492, 0.482











