(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.144, 0.127, 0.144, 0.167, 0.158, 0.198, 0.210, 0.200, 0.213, 0.239, 0.213, 0.220, 0.238, 0.226, 0.224, 0.224, 0.259, 0.243, 0.245, 0.238
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.296, 0.225, 0.286, 0.286, 0.300, 0.345, 0.369, 0.365, 0.355, 0.417, 0.369, 0.403, 0.397, 0.417, 0.412, 0.399, 0.435, 0.428, 0.428, 0.420
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.118, 0.116, 0.124, 0.178, 0.164, 0.180, 0.209, 0.208, 0.226, 0.271, 0.239, 0.196, 0.242, 0.216, 0.235, 0.219, 0.284, 0.228, 0.246, 0.230
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.017, 0.025, 0.001, 0.004, 0.040, 0.048, 0.062, 0.070, 0.042, 0.041, 0.042, 0.053, 0.066, 0.064, 0.035, 0.046, 0.074, 0.073, 0.060, 0.076
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.157, 0.120, 0.114, 0.170, 0.184, 0.207, 0.213, 0.227, 0.230, 0.239, 0.234, 0.234, 0.231, 0.249, 0.264, 0.250, 0.275, 0.278, 0.269, 0.271
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.253, 0.245, 0.284, 0.309, 0.276, 0.338, 0.331, 0.342, 0.336, 0.387, 0.353, 0.356, 0.391, 0.371, 0.360, 0.373, 0.431, 0.385, 0.398, 0.382
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.158, 0.137, 0.165, 0.181, 0.197, 0.235, 0.211, 0.209, 0.245, 0.222, 0.203, 0.215, 0.240, 0.202, 0.217, 0.227, 0.259, 0.242, 0.239, 0.226
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.234, 0.207, 0.189, 0.237, 0.264, 0.306, 0.288, 0.313, 0.321, 0.301, 0.307, 0.289, 0.323, 0.305, 0.315, 0.319, 0.360, 0.347, 0.331, 0.321
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.241, 0.212, 0.194, 0.241, 0.270, 0.311, 0.294, 0.317, 0.326, 0.312, 0.316, 0.302, 0.332, 0.314, 0.322, 0.327, 0.370, 0.355, 0.340, 0.328
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.023, 0.030, 0.005, 0.007, 0.045, 0.054, 0.070, 0.080, 0.054, 0.048, 0.059, 0.064, 0.084, 0.078, 0.053, 0.064, 0.091, 0.091, 0.083, 0.106
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.203, 0.161, 0.157, 0.207, 0.248, 0.284, 0.282, 0.305, 0.316, 0.309, 0.335, 0.299, 0.307, 0.321, 0.341, 0.338, 0.349, 0.364, 0.348, 0.335
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.407, 0.359, 0.384, 0.409, 0.426, 0.475, 0.437, 0.460, 0.494, 0.487, 0.475, 0.464, 0.505, 0.483, 0.487, 0.493, 0.571, 0.522, 0.515, 0.490











